gene id,symbol
ENSMUSG00000022488,Nckap1l
ENSMUSG00000000159,Igsf5
ENSMUSG00000020078,Vps26a
ENSMUSG00000025934,Gsta3
ENSMUSG00000029167,Ppargc1a
ENSMUSG00000079671,NA
ENSMUSG00000054545,Ugt1a6a
ENSMUSG00000026822,Lcn2
ENSMUSG00000022013,Dnajc15
ENSMUSG00000105703,NA
ENSMUSG00000062713,Sim2
ENSMUSG00000115817,NA
ENSMUSG00000022790,Igsf11
ENSMUSG00000018774,Cd68
ENSMUSG00000023122,Sult1c2
ENSMUSG00000027947,Il6ra
ENSMUSG00000086578,NA
ENSMUSG00000028024,Enpep
ENSMUSG00000037902,Sirpa
ENSMUSG00000029553,Tfec
ENSMUSG00000090124,Ugt1a7c
ENSMUSG00000035557,Krt17
ENSMUSG00000001827,Folr1
ENSMUSG00000035948,Acss3
ENSMUSG00000078606,Gvin2
ENSMUSG00000025432,Avil
ENSMUSG00000052276,Ostn
ENSMUSG00000009378,Slc16a12
ENSMUSG00000022885,St6gal1
ENSMUSG00000120961,NA
ENSMUSG00000037482,Erv3
ENSMUSG00000059173,Pde1a
ENSMUSG00000031740,Mmp2
ENSMUSG00000019806,Aig1
ENSMUSG00000032327,Stra6
